,0
80,https://img.scryfall.com/cards/normal/front/3/d/3d946df5-f206-4241-bb55-97db67dc793c.jpg?1562546549
81,https://img.scryfall.com/cards/normal/front/1/d/1da84a3e-a8b2-4cb4-b9c9-1b5c2dca8c67.jpg?1562544663
82,https://img.scryfall.com/cards/normal/front/e/9/e963237e-cb33-4833-a725-4196cfdd87ef.jpg?1562557149
83,https://img.scryfall.com/cards/normal/front/5/3/53ebb96f-185b-4aa5-ad4b-9c02ce44d387.jpg?1562547814
84,https://img.scryfall.com/cards/normal/front/e/f/efd5c07e-4ece-4c8b-93c8-6abd7dd3a39a.jpg?1562557520
85,https://img.scryfall.com/cards/normal/front/0/1/01e71542-b9c1-4431-bfef-da629a3edc57.jpg?1562542967
86,https://img.scryfall.com/cards/normal/front/d/9/d913e4d2-3502-41f3-871e-59b3b13df58a.jpg?1562556067
87,https://img.scryfall.com/cards/normal/front/b/7/b7f264f6-832c-42fe-8642-00ee0f009c08.jpg?1562554046
88,https://img.scryfall.com/cards/normal/front/a/b/abdf4360-ba2f-464f-86f0-1620532e6a0a.jpg?1562553341
89,https://img.scryfall.com/cards/normal/front/a/4/a4bf2a88-2771-4ea8-b448-35642e034965.jpg?1562552804
90,https://img.scryfall.com/cards/normal/front/7/7/777633d7-e31c-4ea3-a085-2858d6ee6040.jpg?1562550007
91,https://img.scryfall.com/cards/normal/front/a/d/ad42a3fd-21ae-49cf-b11d-3700835f2f96.jpg?1562553436
92,https://img.scryfall.com/cards/normal/front/e/5/e5535cb2-8cda-4eb7-b201-6528c686815c.jpg?1562556860
93,https://img.scryfall.com/cards/normal/front/f/6/f698125f-3961-4295-8dcf-3227ec9f4694.jpg?1562557902
94,https://img.scryfall.com/cards/normal/front/8/a/8af61c18-a7ac-42c8-a942-d2f546c1ef57.jpg?1562551259
95,https://img.scryfall.com/cards/normal/front/a/9/a978fa0a-a52b-4464-afe3-d9f7bc202e63.jpg?1562553159
96,https://img.scryfall.com/cards/normal/front/6/9/69df4707-09c5-48e7-9681-0cf7960aeeb1.jpg?1562549192
97,https://img.scryfall.com/cards/normal/front/d/8/d8fa57eb-e307-4104-a291-c6cbfa235816.jpg?1562556064
98,https://img.scryfall.com/cards/normal/front/6/1/61df49d2-1324-460b-8c72-6b6fe8b03c15.jpg?1562548758
99,https://img.scryfall.com/cards/normal/front/f/c/fce1a3a3-f0b8-4088-85f6-8cbdd1f29e65.jpg?1562558285
